signal_date,code,buy_price,sell_date,sell_price,blocked
2026-07-03,SZ300694,12.248000144958496,2026-07-06,12.887999534606934,False
2026-07-03,SZ000951,78.8290023803711,2026-07-06,80.28500366210938,False
2026-07-03,SZ301222,49.2400016784668,2026-07-06,50.20600128173828,False
2026-07-03,SH688068,178.33200073242188,2026-07-06,206.89599609375,False
2026-07-03,SH688305,99.56800079345705,2026-07-06,94.75800323486328,False
2026-07-03,SZ301163,26.06999969482422,2026-07-06,24.3700008392334,False
2026-07-03,SZ002696,21.450000762939453,2026-07-06,20.395999908447266,False
2026-07-03,SH600490,88.73799896240234,2026-07-06,83.6510009765625,False
2026-07-03,SH688577,158.4969940185547,2026-07-06,154.40899658203125,False
2026-07-03,SZ002258,80.66999816894531,2026-07-06,82.02899932861328,False
2026-07-06,SZ300695,110.0530014038086,2026-07-07,93.7979965209961,False
2026-07-06,SH688310,37.4739990234375,2026-07-07,35.63199996948242,False
2026-07-06,SZ301005,382.5830078125,2026-07-07,338.2590026855469,False
2026-07-06,SH688270,268.3550109863281,2026-07-07,238.69200134277344,False
2026-07-06,SH603338,398.43499755859375,2026-07-07,402.3450012207031,False
2026-07-06,SZ300487,427.8429870605469,2026-07-07,406.01800537109375,False
2026-07-06,SZ301499,34.779998779296875,2026-07-07,32.75,False
2026-07-06,SH688636,140.86900329589844,2026-07-07,129.19200134277344,False
2026-07-06,SZ300163,50.84000015258789,2026-07-07,50.36000061035156,False
2026-07-06,SH603013,21.309999465942383,2026-07-07,20.850000381469727,False
2026-07-07,SZ301108,39.69200134277344,2026-07-08,41.81999969482422,False
2026-07-07,SZ002245,441.239013671875,2026-07-08,396.1109924316406,False
2026-07-07,SZ000066,148.35000610351562,2026-07-08,152.08999633789062,False
2026-07-07,SH603903,32.32500076293945,2026-07-08,32.65800094604492,False
2026-07-07,SZ002919,73.56700134277344,2026-07-08,67.0479965209961,False
2026-07-07,SZ300943,75.02999877929688,2026-07-08,64.6500015258789,False
2026-07-07,SZ301379,96.34600067138672,2026-07-08,86.49500274658203,False
2026-07-07,SH688206,47.59000015258789,2026-07-08,47.31999969482422,False
2026-07-07,SH603375,50.04999923706055,2026-07-08,48.38999938964844,False
2026-07-07,SH603268,226.79800415039065,2026-07-08,235.5059967041016,False
2026-07-08,SH688596,77.37999725341797,2026-07-09,81.2300033569336,False
2026-07-08,SZ002558,118.31800079345705,2026-07-09,120.5749969482422,False
2026-07-08,SZ002077,27.302000045776367,2026-07-09,28.74399948120117,False
2026-07-08,SH603065,21.934999465942383,2026-07-09,21.625,False
2026-07-08,SH600360,97.98600006103516,2026-07-09,103.9250030517578,False
2026-07-08,SH688605,112.36000061035156,2026-07-09,117.1999969482422,False
2026-07-08,SZ300821,25.420000076293945,2026-07-09,31.21999931335449,False
2026-07-08,SZ002281,667.3400268554688,2026-07-09,722.780029296875,False
2026-07-08,SZ002129,58.65900039672852,2026-07-09,60.05199813842773,False
2026-07-08,SZ002584,24.99799919128418,2026-07-09,23.82299995422364,False
2026-07-09,SH603285,48.5,2026-07-10,42.84999847412109,False
2026-07-09,SZ002207,12.84000015258789,2026-07-10,12.579999923706056,False
2026-07-09,SZ301369,524.2930297851562,2026-07-10,486.0780029296875,False
2026-07-09,SZ300687,135.76600646972656,2026-07-10,134.5989990234375,False
2026-07-09,SZ301397,60.22600173950195,2026-07-10,60.117000579833984,False
2026-07-09,SH688368,397.7969970703125,2026-07-10,362.3989868164063,False
2026-07-09,SH603183,20.511999130249023,2026-07-10,22.125,False
2026-07-09,SZ002350,73.37799835205078,2026-07-10,72.04900360107422,False
2026-07-09,SZ002512,24.11899948120117,2026-07-10,25.131000518798828,False
2026-07-09,SH603339,24.674999237060547,2026-07-10,26.214000701904297,False
2026-07-10,SH603986,3889.614990234375,2026-07-13,,True
2026-07-10,SH688797,533.989990234375,2026-07-13,412.0,False
2026-07-10,SH600584,417.4240112304688,2026-07-13,365.90399169921875,False
2026-07-10,SZ300626,59.47100067138672,2026-07-13,53.71099853515625,False
2026-07-10,SZ300604,2646.8369140625,2026-07-13,2235.070068359375,False
2026-07-10,SH603757,165.21400451660156,2026-07-13,157.29600524902344,False
2026-07-10,SZ300469,191.7140045166016,2026-07-13,167.8769989013672,False
2026-07-10,SZ301486,210.13999938964844,2026-07-13,182.8000030517578,False
2026-07-10,SH688375,158.8209991455078,2026-07-13,149.98500061035156,False
2026-07-10,SH688008,298.8900146484375,2026-07-13,254.8800048828125,False
